City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Bandhi,PK,2021-12-15 18:51:23,26.5861,68.3006,53.47,12,0,6.91,clear sky
198,Port Hardy,CA,2021-12-15 18:44:29,50.6996,-127.4199,44.6,75,90,23.02,overcast clouds
199,Agadez,NE,2021-12-15 18:51:24,19.75,10.25,64.47,17,100,8.34,overcast clouds
200,Clyde River,CA,2021-12-15 18:43:15,70.4692,-68.5914,-18.17,76,20,5.75,few clouds
201,Maniitsoq,GL,2021-12-15 18:48:08,65.4167,-52.9,22.53,91,100,1.36,overcast clouds
202,Kruisfontein,ZA,2021-12-15 18:45:02,-34.0033,24.7314,63.88,81,44,16.93,light rain
203,Faya,SA,2021-12-15 18:51:27,18.3851,42.4509,51.91,50,77,0.98,broken clouds
204,Urumqi,CN,2021-12-15 18:45:34,43.801,87.6005,14.95,93,75,0.0,light snow
205,Wanaka,NZ,2021-12-15 18:51:29,-44.7,169.15,52.11,95,100,1.01,overcast clouds
206,Iskateley,RU,2021-12-15 18:44:56,67.6803,53.1512,22.69,95,100,10.85,overcast clouds
207,Phek,IN,2021-12-15 18:51:30,25.6667,94.5,37.98,97,15,1.19,few clouds
208,Port Lincoln,AU,2021-12-15 18:51:31,-34.7333,135.8667,60.57,81,0,9.98,clear sky
209,Cody,US,2021-12-15 18:51:32,44.5263,-109.0565,26.82,78,90,10.36,light snow
210,Novyy Urengoy,RU,2021-12-15 18:51:32,66.0833,76.6333,-21.1,91,60,7.34,broken clouds
211,Chiscas,CO,2021-12-15 18:51:33,6.5524,-72.4998,66.04,79,92,3.69,overcast clouds
212,Vila Vicosa,PT,2021-12-15 18:51:34,38.7777,-7.4179,47.68,52,7,5.12,clear sky
213,Lagoa,PT,2021-12-15 18:42:54,39.05,-27.9833,62.55,76,100,18.52,overcast clouds
214,Atasu,KZ,2021-12-15 18:48:11,48.6814,71.6433,10.33,82,100,8.12,overcast clouds
215,Yokadouma,CM,2021-12-15 18:51:36,3.5167,15.05,77.27,61,100,2.73,overcast clouds
216,Kavali,IN,2021-12-15 18:51:37,14.9167,79.9833,74.05,75,96,5.19,overcast clouds
217,Talcahuano,CL,2021-12-15 18:51:37,-36.7167,-73.1167,61.12,69,100,10.65,overcast clouds
218,Hovd,MN,2021-12-15 18:45:19,48.0056,91.6419,-3.62,67,1,5.53,clear sky
219,Saldanha,ZA,2021-12-15 18:47:30,-33.0117,17.9442,61.18,74,0,22.86,clear sky
220,Felipe Carrillo Puerto,MX,2021-12-15 18:51:39,19.5833,-88.05,84.97,53,100,7.27,overcast clouds
221,Torbay,CA,2021-12-15 18:42:59,47.6666,-52.7314,25.57,84,90,33.38,light shower snow
222,Waingapu,ID,2021-12-15 18:51:40,-9.6567,120.2641,79.56,83,43,2.53,scattered clouds
223,Yerbogachen,RU,2021-12-15 18:46:20,61.2767,108.0108,-12.82,90,100,11.1,overcast clouds
224,Ayan,RU,2021-12-15 18:51:41,56.45,138.1667,-13.04,71,94,19.13,overcast clouds
225,Okoneshnikovo,RU,2021-12-15 18:51:42,54.8377,75.0834,17.65,94,100,12.08,light snow
226,Karaj,IR,2021-12-15 18:51:43,35.8355,51.0103,37.92,60,40,4.61,haze
227,Bridlington,GB,2021-12-15 18:51:44,54.0831,-0.1919,51.28,90,8,12.8,clear sky
228,Sitka,US,2021-12-15 18:47:24,57.0531,-135.33,22.89,86,1,3.44,clear sky
229,Muros,ES,2021-12-15 18:42:50,42.7762,-9.0603,59.5,90,0,1.97,clear sky
230,Sorong,ID,2021-12-15 18:51:45,-0.8833,131.25,78.49,88,100,7.83,overcast clouds
231,Victoria,HK,2021-12-15 18:40:20,22.2855,114.1577,72.32,90,100,1.01,overcast clouds
232,Lormi,IN,2021-12-15 18:51:46,22.2833,81.7333,58.77,55,100,4.65,overcast clouds
233,Kuusamo,FI,2021-12-15 18:51:46,65.9667,29.1833,30.24,93,90,5.75,light snow
234,Kushiro,JP,2021-12-15 18:51:47,42.975,144.3747,34.75,54,0,22.19,clear sky
235,Merauke,ID,2021-12-15 18:51:48,-8.4667,140.3333,77.27,86,31,6.67,scattered clouds
236,Namibe,AO,2021-12-15 18:44:12,-15.1961,12.1522,69.71,75,26,4.83,scattered clouds
237,Den Helder,NL,2021-12-15 18:51:50,52.9599,4.7593,51.94,93,0,11.99,clear sky
238,Jiwani,PK,2021-12-15 18:51:51,25.05,61.7417,71.64,36,0,7.58,clear sky
239,Menongue,AO,2021-12-15 18:51:52,-14.6585,17.691,66.51,80,75,4.21,light rain
240,Avera,US,2021-12-15 18:47:27,33.194,-82.5271,65.44,42,71,7.72,broken clouds
241,Auki,SB,2021-12-15 18:51:54,-8.7676,160.7034,76.26,97,100,6.2,overcast clouds
242,Falmouth,GB,2021-12-15 18:51:55,50.1544,-5.0711,51.85,88,19,4.38,few clouds
243,Sao Felix Do Xingu,BR,2021-12-15 18:49:50,-6.6447,-51.995,87.51,63,100,2.57,light rain
244,San Cristobal,VE,2021-12-15 18:51:56,7.7669,-72.225,75.38,82,100,1.41,overcast clouds
